POLY CATEGORY,WORD
contronym,a rolling stone
contronym,aboard
contronym,abysmal
contronym,adumbrate
contronym,adumbrated
contronym,against
contronym,alight
contronym,allosexual
contronym,anabasis
contronym,anon
contronym,anxious
contronym,anxiously
contronym,apologies
contronym,apology
contronym,apparent
contronym,apparently
contronym,apropos
contronym,argue
contronym,around
contronym,assume
contronym,assumed
contronym,aught
contronym,avocation
contronym,awful
contronym,awfully
contronym,back up
contronym,bad
contronym,before
contronym,belie
contronym,berm
contronym,biannual
contronym,biannually
contronym,bible basher
contronym,bill
contronym,bimonthly
contronym,bitch
contronym,biweekly
contronym,bleach
contronym,bleached
contronym,blunt
contronym,bolt
contronym,bomb
contronym,boned
contronym,bosom
contronym,bound
contronym,buckle
contronym,by
contronym,certain
contronym,charter
contronym,chop logic
contronym,chuffed
contronym,cipher
contronym,citation
contronym,cleave
contronym,clip
contronym,co-opetition
contronym,cognomen
contronym,cognomial
contronym,commencement
contronym,comprise
contronym,consequential
contronym,consult
contronym,consume
contronym,consumed
contronym,contemporary
contronym,contingent
contronym,continue
contronym,cool
contronym,coopetition
contronym,copemate
contronym,copesmate
contronym,cork
contronym,couldn't care less
contronym,counterfeit
contronym,critical
contronym,crop
contronym,cull
contronym,custom
contronym,cut
contronym,cut out
contronym,deceptively
contronym,depthless
contronym,dike
contronym,discursive
contronym,disposed
contronym,dollop
contronym,doubtful
contronym,down
contronym,downhill
contronym,draw
contronym,dress
contronym,dry
contronym,dust
contronym,dyke
contronym,easterly
contronym,effectively
contronym,egregious
contronym,either
contronym,emancipate
contronym,enduring
contronym,enjoin
contronym,eventual
contronym,execute
contronym,factoid
contronym,fast
contronym,fearful
contronym,fearsome
contronym,fight with
contronym,filter
contronym,fine
contronym,finish
contronym,finished
contronym,fireman
contronym,first degree
contronym,fix
contronym,flank
contronym,flesh
contronym,flog
contronym,for
contronym,fraise
contronym,fulsome
contronym,gafiate
contronym,garnish
contronym,generally
contronym,give out
contronym,gnarly
contronym,go
contronym,goods
contronym,grade
contronym,hack
contronym,handicap
contronym,hardly
contronym,help
contronym,hew
contronym,hoi polloi
contronym,hold up
contronym,homely
contronym,hork
contronym,hysterical
contronym,impassionate
contronym,impregnable
contronym,in charge
contronym,incorporate
contronym,inexistence
contronym,inflammable
contronym,injoint
contronym,inoculate
contronym,interesting
contronym,interestingly
contronym,intermarry
contronym,joint
contronym,last
contronym,lead footed
contronym,lease
contronym,left
contronym,let
contronym,license
contronym,liege
contronym,liegemam
contronym,literally
contronym,livid
contronym,luck out
contronym,lurid
contronym,mad
contronym,man among men
contronym,mark
contronym,marry
contronym,mean
contronym,mediocre
contronym,model
contronym,momentarily
contronym,moot
contronym,mortar
contronym,mosey
contronym,nerveless
contronym,nervy
contronym,no fear
contronym,nonplussed
contronym,northerly
contronym,note
contronym,off
contronym,open secret
contronym,oppose
contronym,original
contronym,out
contronym,out of
contronym,outbuy
contronym,outstanding
contronym,overlook
contronym,oversight
contronym,pants
contronym,paper
contronym,partition
contronym,peel
contronym,peer
contronym,periodic
contronym,peruse
contronym,pit
contronym,pitch
contronym,pitted
contronym,policy
contronym,practiced
contronym,prescribed
contronym,presently
contronym,priceless
contronym,protest
contronym,prove
contronym,public
contronym,public school
contronym,put
contronym,put out
contronym,puzzle
contronym,qualified
contronym,quantum
contronym,quantum leap
contronym,quiddity
contronym,quite
contronym,ravel
contronym,recover
contronym,reel
contronym,reflexive
contronym,refrain
contronym,release
contronym,rent
contronym,replace
contronym,repress
contronym,reprove
contronym,resent
contronym,reservation
contronym,reside
contronym,resign
contronym,restive
contronym,restore
contronym,rhotacism
contronym,riot
contronym,rival
contronym,rock
contronym,rocky
contronym,root
contronym,sanction
contronym,sanguine
contronym,scan
contronym,screen
contronym,screwed
contronym,secrete
contronym,secreted
contronym,seed
contronym,seeded
contronym,set
contronym,settle
contronym,several
contronym,shank
contronym,shed
contronym,shell
contronym,shelled
contronym,shop
contronym,show-stopper
contronym,sick
contronym,sinople
contronym,siren
contronym,skin
contronym,skinned
contronym,slave
contronym,snap
contronym,southerly
contronym,spear carrier
contronym,splice
contronym,spring fever
contronym,stain
contronym,stakeholder
contronym,station to station
contronym,stave
contronym,stay
contronym,stem
contronym,stipulate
contronym,stone
contronym,strike
contronym,suspicious
contronym,table
contronym,take
contronym,targeted
contronym,temper
contronym,terrible
contronym,terrific
contronym,throw out
contronym,tilt
contronym,toss out
contronym,transparent
contronym,trim
contronym,trip
contronym,tripping
contronym,trying
contronym,tube
contronym,unbending
contronym,unlockable
contronym,unqualified
contronym,unshelled
contronym,unthaw
contronym,variety
contronym,vault
contronym,vegetative
contronym,vernacular
contronym,vital
contronym,water
contronym,wear
contronym,weather
contronym,went off
contronym,westerly
contronym,wicked
contronym,widdershins
contronym,wind up
contronym,with
contronym,wraith
contronym,x
contronym,yeah right
polysemy,accept
polysemy,account
polysemy,ace
polysemy,act
polysemy,action
polysemy,active
polysemy,address
polysemy,admit
polysemy,advance
polysemy,affair
polysemy,aim
polysemy,air
polysemy,angle
polysemy,annual
polysemy,answer
polysemy,approach
polysemy,arm
polysemy,arms
polysemy,article
polysemy,atmosphere
polysemy,attack
polysemy,average
polysemy,away
polysemy,back
polysemy,bag
polysemy,bail
polysemy,balance
polysemy,ball
polysemy,band
polysemy,bang
polysemy,bank
polysemy,bar
polysemy,bare
polysemy,bark
polysemy,base
polysemy,bat
polysemy,battery
polysemy,be
polysemy,beam
polysemy,bear
polysemy,beat
polysemy,bed
polysemy,begin
polysemy,being
polysemy,bell
polysemy,belt
polysemy,bend
polysemy,better
polysemy,big
polysemy,bind
polysemy,bit
polysemy,bite
polysemy,bitter
polysemy,black
polysemy,blast
polysemy,block
polysemy,blow
polysemy,blue
polysemy,bluff
polysemy,board
polysemy,bob
polysemy,body
polysemy,bond
polysemy,book
polysemy,boot
polysemy,bottom
polysemy,bow
polysemy,bowl
polysemy,box
polysemy,brace
polysemy,break
polysemy,break up
polysemy,bridge
polysemy,bridge
polysemy,bright
polysemy,bring
polysemy,broke
polysemy,broken
polysemy,brush
polysemy,bug
polysemy,build
polysemy,bulb
polysemy,bull
polysemy,burn
polysemy,burst
polysemy,butt
polysemy,cabinet
polysemy,cable
polysemy,calf
polysemy,call
polysemy,camp
polysemy,can
polysemy,canine
polysemy,cap
polysemy,capital
polysemy,capture
polysemy,card
polysemy,care
polysemy,carrier
polysemy,carry
polysemy,case
polysemy,cast
polysemy,catch
polysemy,cell
polysemy,center
polysemy,centre
polysemy,chain
polysemy,change
polysemy,channel
polysemy,charge
polysemy,charm
polysemy,check
polysemy,chicken
polysemy,china
polysemy,chip
polysemy,choke
polysemy,chop
polysemy,circle
polysemy,claim
polysemy,class
polysemy,clean
polysemy,clear
polysemy,click
polysemy,clinch
polysemy,clog
polysemy,close
polysemy,cloud
polysemy,club
polysemy,coach
polysemy,coat
polysemy,cold
polysemy,collapse
polysemy,collar
polysemy,color
polysemy,colour
polysemy,come
polysemy,come out
polysemy,come up
polysemy,command
polysemy,commission
polysemy,compound
polysemy,concentrate
polysemy,condition
polysemy,connect
polysemy,contact
polysemy,contract
polysemy,control
polysemy,convert
polysemy,core
polysemy,corn
polysemy,corner
polysemy,correct
polysemy,cotton
polysemy,count
polysemy,counter
polysemy,course
polysemy,court
polysemy,cover
polysemy,crab
polysemy,crack
polysemy,crane
polysemy,crash
polysemy,crawl
polysemy,credit
polysemy,cross
polysemy,crown
polysemy,crush
polysemy,cry
polysemy,cup
polysemy,curb
polysemy,cutting
polysemy,cycle
polysemy,dark
polysemy,dart
polysemy,dash
polysemy,date
polysemy,dead
polysemy,deal
polysemy,decline
polysemy,deep
polysemy,defence
polysemy,defense
polysemy,deliver
polysemy,demand
polysemy,deposit
polysemy,design
polysemy,develop
polysemy,diamond
polysemy,die
polysemy,dig
polysemy,digit
polysemy,dip
polysemy,direct
polysemy,dirty
polysemy,discharge
polysemy,dissolve
polysemy,dive
polysemy,division
polysemy,do
polysemy,dock
polysemy,double
polysemy,dough
polysemy,draft
polysemy,drag
polysemy,drift
polysemy,drinker
polysemy,drive
polysemy,drop
polysemy,duck
polysemy,duck
polysemy,dull
polysemy,dump
polysemy,easy
polysemy,end
polysemy,escape
polysemy,even
polysemy,exchange
polysemy,exercise
polysemy,express
polysemy,extend
polysemy,extension
polysemy,eye
polysemy,face
polysemy,fail
polysemy,fair
polysemy,fall
polysemy,false
polysemy,fan
polysemy,feed
polysemy,feel
polysemy,felt
polysemy,fence
polysemy,field
polysemy,figure
polysemy,file
polysemy,fill
polysemy,filling
polysemy,find
polysemy,fire
polysemy,firm
polysemy,first
polysemy,fit
polysemy,flag
polysemy,flap
polysemy,flare
polysemy,flash
polysemy,flat
polysemy,flick
polysemy,flight
polysemy,fling
polysemy,flip
polysemy,float
polysemy,floor
polysemy,flow
polysemy,flush
polysemy,flux
polysemy,fly
polysemy,focus
polysemy,fold
polysemy,follow
polysemy,foot
polysemy,force
polysemy,form
polysemy,fortune
polysemy,forward
polysemy,foul
polysemy,frame
polysemy,free
polysemy,freeze
polysemy,fresh
polysemy,fret
polysemy,front
polysemy,full
polysemy,fuse
polysemy,gag
polysemy,gain
polysemy,game
polysemy,gas
polysemy,gather
polysemy,gauge
polysemy,gave
polysemy,gear
polysemy,germ
polysemy,get
polysemy,get off
polysemy,gin
polysemy,give
polysemy,give up
polysemy,glare
polysemy,glass
polysemy,glasses
polysemy,glow
polysemy,good
polysemy,grade
polysemy,grain
polysemy,grant
polysemy,grass
polysemy,grate
polysemy,grave
polysemy,gray
polysemy,green
polysemy,grey
polysemy,grill
polysemy,grind
polysemy,ground
polysemy,guard
polysemy,guide
polysemy,habit
polysemy,hall
polysemy,hand
polysemy,hands
polysemy,hang
polysemy,hard
polysemy,hatch
polysemy,have
polysemy,head
polysemy,heat
polysemy,heave
polysemy,heavy
polysemy,heel
polysemy,help
polysemy,hide
polysemy,high
polysemy,hit
polysemy,hitch
polysemy,hold
polysemy,home
polysemy,hood
polysemy,hook
polysemy,horn
polysemy,host
polysemy,hot
polysemy,hound
polysemy,house
polysemy,hunt
polysemy,hurt
polysemy,ice
polysemy,image
polysemy,incense
polysemy,incline
polysemy,interest
polysemy,intimate
polysemy,iron
polysemy,irregular
polysemy,issue
polysemy,jack
polysemy,jackson
polysemy,jam
polysemy,jar
polysemy,jerk
polysemy,job
polysemy,jump
polysemy,just
polysemy,keep
polysemy,key
polysemy,kick
polysemy,kid
polysemy,kill
polysemy,kind
polysemy,knock
polysemy,know
polysemy,lace
polysemy,land
polysemy,lap
polysemy,large
polysemy,late
polysemy,lead
polysemy,leaf
polysemy,lean
polysemy,leave
polysemy,letter
polysemy,level
polysemy,lie
polysemy,life
polysemy,lift
polysemy,light
polysemy,like
polysemy,line
polysemy,link
polysemy,lip
polysemy,liquid
polysemy,litter
polysemy,live
polysemy,load
polysemy,loaf
polysemy,lobby
polysemy,lock
polysemy,log
polysemy,long
polysemy,look
polysemy,loop
polysemy,loose
polysemy,lot
polysemy,lounge
polysemy,low
polysemy,major
polysemy,make
polysemy,man
polysemy,marble
polysemy,march
polysemy,mass
polysemy,master
polysemy,mat
polysemy,match
polysemy,mate
polysemy,material
polysemy,mature
polysemy,meal
polysemy,measure
polysemy,medium
polysemy,meet
polysemy,might
polysemy,milk
polysemy,mind
polysemy,mine
polysemy,minor
polysemy,mint
polysemy,minute
polysemy,miss
polysemy,mold
polysemy,mole
polysemy,mount
polysemy,mouth
polysemy,move
polysemy,movement
polysemy,mug
polysemy,nag
polysemy,nail
polysemy,name
polysemy,nap
polysemy,natural
polysemy,navy
polysemy,negative
polysemy,net
polysemy,new
polysemy,newspaper
polysemy,nose
polysemy,notice
polysemy,novel
polysemy,number
polysemy,nut
polysemy,oak
polysemy,obscure
polysemy,odd
polysemy,offer
polysemy,offset
polysemy,open
polysemy,opening
polysemy,operation
polysemy,opposite
polysemy,orange
polysemy,order
polysemy,organ
polysemy,outside
polysemy,pack
polysemy,pad
polysemy,pall
polysemy,palm
polysemy,panel
polysemy,panel
polysemy,park
polysemy,part
polysemy,pass
polysemy,passage
polysemy,passing
polysemy,patch
polysemy,patient
polysemy,pawn
polysemy,pay
polysemy,pen
polysemy,period
polysemy,pet
polysemy,pick
polysemy,pick up
polysemy,picture
polysemy,piece
polysemy,pile
polysemy,pin
polysemy,pinch
polysemy,pissed
polysemy,pitcher
polysemy,place
polysemy,plain
polysemy,plane
polysemy,plaster
polysemy,plate
polysemy,play
polysemy,plot
polysemy,plug
polysemy,pocket
polysemy,point
polysemy,poker
polysemy,pole
polysemy,pool
polysemy,pop
polysemy,port
polysemy,position
polysemy,positive
polysemy,post
polysemy,pot
polysemy,pound
polysemy,power
polysemy,present
polysemy,press
polysemy,prick
polysemy,prime
polysemy,print
polysemy,process
polysemy,produce
polysemy,production
polysemy,project
polysemy,proof
polysemy,puddle
polysemy,puff
polysemy,pull
polysemy,pump
polysemy,punch
polysemy,pupil
polysemy,push
polysemy,quack
polysemy,quarter
polysemy,queen
polysemy,question
polysemy,quiet
polysemy,rabbit
polysemy,race
polysemy,rack
polysemy,racket
polysemy,radical
polysemy,rag
polysemy,rail
polysemy,raise
polysemy,ram
polysemy,range
polysemy,rank
polysemy,rap
polysemy,rash
polysemy,rat
polysemy,raw
polysemy,reach
polysemy,read
polysemy,real
polysemy,rear
polysemy,recall
polysemy,receive
polysemy,record
polysemy,reduce
polysemy,reference
polysemy,reflect
polysemy,refrain
polysemy,refuse
polysemy,register
polysemy,regular
polysemy,relief
polysemy,relieve
polysemy,relish
polysemy,render
polysemy,report
polysemy,represent
polysemy,reservation
polysemy,reserve
polysemy,resistance
polysemy,resolution
polysemy,resort
polysemy,rest
polysemy,retire
polysemy,retreat
polysemy,return
polysemy,reverse
polysemy,review
polysemy,rich
polysemy,ride
polysemy,ridge
polysemy,rig
polysemy,right
polysemy,ring
polysemy,rise
polysemy,roll
polysemy,rough
polysemy,round
polysemy,row
polysemy,ruffle
polysemy,ruin
polysemy,rule
polysemy,ruler
polysemy,run
polysemy,running
polysemy,rush
polysemy,sack
polysemy,sage
polysemy,sap
polysemy,save
polysemy,saw
polysemy,say
polysemy,scale
polysemy,score
polysemy,scratch
polysemy,seal
polysemy,seat
polysemy,second
polysemy,secret
polysemy,section
polysemy,secure
polysemy,see
polysemy,sense
polysemy,sentence
polysemy,separate
polysemy,serve
polysemy,service
polysemy,set up
polysemy,shade
polysemy,shadow
polysemy,shaft
polysemy,shake
polysemy,shape
polysemy,share
polysemy,sharp
polysemy,sheet
polysemy,shift
polysemy,shine
polysemy,ship
polysemy,shock
polysemy,shoot
polysemy,short
polysemy,shot
polysemy,show
polysemy,shower
polysemy,shuttle
polysemy,side
polysemy,sign
polysemy,silver
polysemy,sink
polysemy,slack
polysemy,slick
polysemy,slide
polysemy,slip
polysemy,slow
polysemy,smack
polysemy,small
polysemy,smart
polysemy,smash
polysemy,smooth
polysemy,so
polysemy,soak
polysemy,sock
polysemy,soft
polysemy,sole
polysemy,solid
polysemy,sore
polysemy,sound
polysemy,sour
polysemy,source
polysemy,sow
polysemy,spade
polysemy,spare
polysemy,speed
polysemy,spell
polysemy,spike
polysemy,spin
polysemy,splash
polysemy,split
polysemy,spoil
polysemy,spot
polysemy,spread
polysemy,spring
polysemy,square
polysemy,squash
polysemy,squeeze
polysemy,stable
polysemy,staff
polysemy,stake
polysemy,stalk
polysemy,stall
polysemy,stamp
polysemy,stand
polysemy,standard
polysemy,staple
polysemy,star
polysemy,start
polysemy,state
polysemy,steep
polysemy,steer
polysemy,step
polysemy,stern
polysemy,stick
polysemy,stiff
polysemy,still
polysemy,stir
polysemy,stitch
polysemy,stock
polysemy,stop
polysemy,store
polysemy,straight
polysemy,strain
polysemy,stress
polysemy,stretch
polysemy,strike
polysemy,string
polysemy,strip
polysemy,stroke
polysemy,stud
polysemy,study
polysemy,stuff
polysemy,style
polysemy,subject
polysemy,suffer
polysemy,suit
polysemy,superior
polysemy,support
polysemy,swallow
polysemy,sweep
polysemy,sweet
polysemy,swell
polysemy,swing
polysemy,switch
polysemy,tack
polysemy,tail
polysemy,take in
polysemy,take out
polysemy,take up
polysemy,talk
polysemy,tap
polysemy,tart
polysemy,taste
polysemy,tax
polysemy,tear
polysemy,tease
polysemy,television
polysemy,temple
polysemy,tender
polysemy,term
polysemy,terminal
polysemy,test
polysemy,thick
polysemy,thin
polysemy,thing
polysemy,think
polysemy,throw
polysemy,thrust
polysemy,tick
polysemy,tie
polysemy,tight
polysemy,time
polysemy,tin
polysemy,tip
polysemy,tire
polysemy,title
polysemy,toast
polysemy,toll
polysemy,tone
polysemy,tool
polysemy,top
polysemy,touch
polysemy,tough
polysemy,trace
polysemy,track
polysemy,trade
polysemy,train
polysemy,transfer
polysemy,transport
polysemy,trap
polysemy,treat
polysemy,trial
polysemy,troll
polysemy,trouble
polysemy,true
polysemy,trunk
polysemy,trust
polysemy,try
polysemy,tumble
polysemy,turkey
polysemy,turn
polysemy,turn out
polysemy,twist
polysemy,type
polysemy,union
polysemy,up
polysemy,upgrade
polysemy,upset
polysemy,use
polysemy,vain
polysemy,value
polysemy,variation
polysemy,vessel
polysemy,view
polysemy,visit
polysemy,voice
polysemy,walk
polysemy,warm
polysemy,wash
polysemy,waste
polysemy,watch
polysemy,wave
polysemy,way
polysemy,weak
polysemy,well
polysemy,whet
polysemy,whip
polysemy,whistle
polysemy,white
polysemy,wide
polysemy,wild
polysemy,wilson
polysemy,wind
polysemy,wing
polysemy,withdraw
polysemy,wood
polysemy,word
polysemy,work
polysemy,wrong
polysemy,yard
polysemy,yield
polysemy,young
